surname,equator,datetime
Dalin,1654982s (~2.74 weeks),2024-11-29 15:45:02
Ruyant,1662801s (~2.75 weeks),2024-11-29 17:55:21
Simon,1665610s (~2.75 weeks),2024-11-29 18:42:10
Richomme,1666862s (~2.76 weeks),2024-11-29 19:03:02
Beyou,1685876s (~2.79 weeks),2024-11-30 00:19:56
Lunven,1689241s (~2.79 weeks),2024-11-30 01:16:01
Goodchild,1704001s (~2.82 weeks),2024-11-30 05:22:01
Bestaven,1729278s (~2.86 weeks),2024-11-30 12:23:18
Meilhat,1747114s (~2.89 weeks),2024-11-30 17:20:34
Davies,1891441s (~3.13 weeks),2024-12-02 09:26:01
Mettraux,1908857s (~3.16 weeks),2024-12-02 14:16:17
Herrmann,1909860s (~3.16 weeks),2024-12-02 14:33:00
Crémer,1919696s (~3.17 weeks),2024-12-02 17:16:56
Dutreux,1965272s (~3.25 weeks),2024-12-03 05:56:32
Attanasio,1968962s (~3.26 weeks),2024-12-03 06:58:02
Burton,2002022s (~3.31 weeks),2024-12-03 16:09:02
Hare,2033582s (~3.36 weeks),2024-12-04 00:55:02
Séguin,2045273s (~3.38 weeks),2024-12-04 04:09:53
Joschke,2112374s (~3.49 weeks),2024-12-04 22:48:14
Le Cam,2116925s (~3.5 weeks),2024-12-05 00:04:05
Roura,2131506s (~3.52 weeks),2024-12-05 04:07:06
Le Turquais,2142938s (~3.54 weeks),2024-12-05 07:17:38
Ferré,2145562s (~3.55 weeks),2024-12-05 08:01:22
Pedote,2154155s (~3.56 weeks),2024-12-05 10:24:35
Boissières,2160221s (~3.57 weeks),2024-12-05 12:05:41
Dorange,2163764s (~3.58 weeks),2024-12-05 13:04:44
Marsset,2171606s (~3.59 weeks),2024-12-05 15:15:26
Soudée,2192733s (~3.63 weeks),2024-12-05 21:07:33
Duc,2193690s (~3.63 weeks),2024-12-05 21:23:30
Bellion,2214163s (~3.66 weeks),2024-12-06 03:04:43
Shiraishi,2223273s (~3.68 weeks),2024-12-06 05:36:33
Colman,2228702s (~3.69 weeks),2024-12-06 07:07:02
Heer,2264254s (~3.74 weeks),2024-12-06 16:59:34
Cornic,2274909s (~3.76 weeks),2024-12-06 19:57:09
Cousin,2402239s (~3.97 weeks),2024-12-08 07:19:19
Amedeo,2441686s (~4.04 weeks),2024-12-08 18:16:46
Van Weynbergh,2456240s (~4.06 weeks),2024-12-08 22:19:20
Xu,2515125s (~4.16 weeks),2024-12-09 14:40:45
